k_real,k_hybrid,k_phys
1.0,1.977483868598938,1.844853401184082
1.0,1.58193039894104,1.4815105199813843
-1.0,-1.1079376935958862,-1.0756772756576538
-1.0,-0.4965720474720001,-1.1025738716125488
1.0,1.1279712915420532,1.2034832239151
-1.0,-0.9666717052459717,-0.37794360518455505
1.0,1.0,1.0
1.0,1.0,1.0
